timestamp,tmv_x,tmv_y,tmv_z,twv_x,twv_y,twv_z
1554967252.86625,2.80862236,1.227220893,0.1309653819,,,
1554967253.06794,2.815795422,1.162974834,-0.06015683711,,,
1554967253.26968,2.958810329,1.295993805,0.1162519157,,,
1554967253.471395,3.034382582,1.323754787,0.1103045419,,,
1554967253.673124,3.111434698,1.338821411,0.1025334746,,,
1554967253.8748,3.191424131,1.349499345,0.097434856,,,
1554967254.076503,3.265176773,1.356574416,0.1022130325,,,
1554967254.278218,3.334910631,1.369527459,0.1069282591,,,
1554967254.479971,3.39328599,1.375718236,0.1119068861,,,
1554967254.681661,3.456550121,1.387839794,0.1087049022,,,
1554967254.883389,3.523313046,1.40779233,0.09715624154,,,
1554967255.085104,3.595890284,1.43188417,0.09153655916,,,
1554967255.286819,3.664444685,1.455144286,0.08194419742,,,
1554967255.690301,3.787098646,1.494734883,0.06595461071,,,
1554967256.093693,3.910018682,1.527313232,0.05891403556,,,
1554967256.295421,3.977459669,1.540341973,0.06240956485,,,
1554967256.497123,4.048070431,1.554018617,0.0780660063,,,
1554967256.698877,4.115075588,1.572214961,0.08997840434,,,
1554967257.102282,4.235185623,1.611212373,0.0863802135,,,
1554967257.505776,4.334922791,1.63505137,0.07486639172,,,
1554967257.707504,4.381463528,1.635861158,0.06702507287,,,
1554967257.909156,4.426457405,1.632741332,0.05834337324,,,
1554967258.110858,4.459431171,1.625535727,0.05247399956,,,
1554967258.312586,4.490989685,1.612595916,0.04537080228,,,
1554967258.514288,4.520819664,1.599261284,0.03299856558,,,
1554967259.11946,4.590278625,1.616220117,0.01644990593,,,
1554967259.522928,4.660609722,1.649345398,0.04208147898,,,
1554967259.724618,4.703568935,1.661991835,0.05589687824,,,
1554967259.926333,4.745357037,1.670072913,0.06295376271,,,
1554967260.128061,4.785132885,1.675969839,0.06337672472,,,
1554967260.329776,4.819986343,1.678973436,0.06185634434,,,
1554967260.531504,4.848670006,1.68042767,0.06246486306,,,
1554967260.733437,4.869350433,1.689255238,0.06532165408,,,
1554967261.338365,4.899557114,1.714570165,0.0682695061,,,
1554967261.54008,4.915102005,1.718706489,0.07266044617,,,
1554967261.741808,4.934962749,1.725814223,0.06911681592,,,
1554967261.943498,4.962296963,1.723212361,0.06496840715,,,
1554967262.145252,4.995598316,1.724178076,0.0547597371,,,
